displ,cyl,city,hwy,comb,asp,trans,gears,lockup,drive,intakevalves,exhaustvalves,cyldeact,vvt,vvl
5.2,12,15,21,17,TC,SA,8,Y,R,2,2,Y,Y,N
4,8,18,24,20,TC,SA,8,Y,R,2,2,N,Y,N
6,12,13,21,16,NAT,SA,8,Y,R,2,2,N,Y,N
6,12,14,21,17,NAT,SA,8,Y,R,2,2,N,Y,N
1.5,3,24,32,27,TC,SA,6,Y,F,2,2,N,Y,Y
1.5,3,24,34,28,TC,M,6,N,F,2,2,N,Y,Y
1.5,3,27,35,30,TC,SA,6,Y,F,2,2,N,Y,Y
1.5,3,28,38,32,TC,M,6,N,F,2,2,N,Y,Y
1.5,3,27,35,30,TC,SA,6,Y,F,2,2,N,Y,Y
1.5,3,28,37,32,TC,M,6,N,F,2,2,N,Y,Y
1.5,3,27,35,30,TC,SA,6,Y,F,2,2,N,Y,Y
1.5,3,28,37,32,TC,M,6,N,F,2,2,N,Y,Y
1.5,3,24,32,27,TC,SA,6,Y,F,2,2,N,Y,Y
1.5,3,24,34,28,TC,M,6,N,F,2,2,N,Y,Y
1.5,3,23,31,26,TC,SA,8,Y,A,2,2,N,Y,Y
1.5,3,22,32,26,TC,M,6,N,A,2,2,N,Y,Y
1.5,3,23,30,25,TC,SA,8,Y,A,2,2,N,Y,Y
1.5,3,22,32,26,TC,M,6,N,A,2,2,N,Y,Y
2,4,23,32,27,TC,SA,8,Y,F,2,2,N,Y,Y
2,4,22,31,25,TC,M,6,N,F,2,2,N,Y,Y
2,4,25,32,28,TC,SA,6,Y,F,2,2,N,Y,Y
2,4,23,32,26,TC,M,6,N,F,2,2,N,Y,Y
2,4,25,32,28,TC,SA,6,Y,F,2,2,N,Y,Y
2,4,23,32,26,TC,M,6,N,F,2,2,N,Y,Y
2,4,25,33,28,TC,SA,6,Y,F,2,2,N,Y,Y
2,4,23,32,26,TC,M,6,N,F,2,2,N,Y,Y
2,4,23,32,27,TC,SA,8,Y,F,2,2,N,Y,Y
2,4,22,31,26,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,21,31,24,TC,M,6,N,A,2,2,N,Y,Y
2,4,22,31,26,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,21,30,24,TC,M,6,N,A,2,2,N,Y,Y
2,4,23,31,26,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,21,31,24,TC,M,6,N,A,2,2,N,Y,Y
2,4,25,33,28,TC,SA,6,Y,F,2,2,N,Y,Y
2,4,22,31,25,TC,M,6,N,F,2,2,N,Y,Y
2,4,25,32,28,TC,SA,6,Y,F,2,2,N,Y,Y
2,4,23,32,26,TC,M,6,N,F,2,2,N,Y,Y
2,4,22,30,25,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,20,29,24,TC,M,6,N,A,2,2,N,Y,Y
2,4,22,31,25,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,23,32,26,TC,SA,8,Y,F,2,2,N,Y,Y
2,4,24,35,28,TC,SA,8,Y,R,2,2,N,Y,Y
2,4,21,32,25,TC,M,6,N,R,2,2,N,Y,Y
2,4,24,33,27,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,24,34,27,TC,SA,8,Y,R,2,2,N,Y,Y
2,4,23,33,27,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,21,30,24,TC,SA,8,Y,R,2,2,N,Y,Y
3,6,19,28,22,TC,M,6,N,R,2,2,N,Y,Y
3,6,21,30,24,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,21,30,24,TC,SA,8,Y,R,2,2,N,Y,Y
3,6,18,27,22,TC,M,6,N,R,2,2,N,Y,Y
3,6,21,30,24,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,21,31,25,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,23,32,26,TC,SA,8,Y,F,2,2,N,Y,Y
3,6,18,26,21,TC,M,6,N,R,2,2,N,Y,Y
3,6,20,26,22,TC,AMS,7,N,R,2,2,N,Y,Y
2,4,24,34,27,TC,SA,8,Y,R,2,2,N,Y,Y
2,4,21,32,25,TC,M,6,N,R,2,2,N,Y,Y
2,4,23,33,27,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,24,35,28,TC,SA,8,Y,R,2,2,N,Y,Y
2,4,23,35,27,TC,M,6,N,R,2,2,N,Y,Y
2,4,23,34,27,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,23,33,27,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,23,33,27,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,21,32,25,TC,SA,8,Y,R,2,2,N,Y,Y
3,6,19,29,23,TC,M,6,N,R,2,2,N,Y,Y
3,6,21,31,25,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,19,29,23,TC,M,6,N,A,2,2,N,Y,Y
3,6,20,29,23,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,31,43,36,TC,SA,8,Y,R,2,2,N,N,N
2,4,30,40,34,TC,SA,8,Y,A,2,2,N,N,N
2,4,30,40,34,TC,SA,8,Y,A,2,2,N,N,N
2,4,22,29,25,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,20,27,23,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,17,25,20,TC,M,6,N,R,2,2,N,Y,Y
3,6,17,24,20,TC,AMS,7,N,R,2,2,N,Y,Y
3,6,16,22,19,TC,AMS,7,N,R,2,2,N,Y,Y
2,4,24,34,27,TC,SA,8,Y,R,2,2,N,Y,Y
2,4,21,33,25,TC,M,6,N,R,2,2,N,Y,Y
2,4,23,33,27,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,24,34,27,TC,SA,8,Y,R,2,2,N,Y,Y
2,4,22,32,26,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,24,34,27,TC,SA,8,Y,R,2,2,N,Y,Y
2,4,23,33,27,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,21,32,25,TC,SA,8,Y,R,2,2,N,Y,Y
3,6,19,29,23,TC,M,6,N,R,2,2,N,Y,Y
3,6,21,31,25,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,19,29,23,TC,M,6,N,A,2,2,N,Y,Y
3,6,21,29,24,TC,SA,8,Y,R,2,2,N,Y,Y
3,6,20,29,23,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,21,32,25,TC,SA,8,Y,R,2,2,N,Y,Y
3,6,21,31,25,TC,SA,8,Y,A,2,2,N,Y,Y
2,4,20,28,23,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,18,25,21,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,17,25,20,TC,M,6,N,R,2,2,N,Y,Y
3,6,17,24,20,TC,AMS,7,N,R,2,2,N,Y,Y
3,6,17,25,20,TC,M,6,N,R,2,2,N,Y,Y
3,6,16,22,19,TC,AMS,7,N,R,2,2,N,Y,Y
3,6,17,24,20,TC,AMS,7,N,R,2,2,N,Y,Y
2,4,24,34,27,TC,SA,8,Y,R,2,2,N,Y,Y
2,4,23,33,27,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,21,30,24,TC,SA,8,Y,R,2,2,N,Y,Y
3,6,20,29,23,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,26,36,30,TC,SA,8,Y,A,2,2,N,N,N
4.4,8,16,25,19,TC,SA,8,Y,A,2,2,N,Y,Y
4.4,8,15,21,17,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,23,29,25,TC,SA,8,Y,A,2,2,N,N,N
3,6,18,24,20,TC,SA,8,Y,A,2,2,N,Y,Y
4.4,8,15,21,17,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,18,25,21,TC,SA,8,Y,R,2,2,N,Y,Y
4.4,8,14,19,16,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,20,29,23,TC,SA,8,Y,R,2,2,N,Y,Y
3,6,20,29,23,TC,SA,8,Y,R,2,2,N,Y,Y
3,6,19,28,22,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,19,28,22,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,20,28,23,TC,SA,8,Y,A,2,2,N,Y,Y
4.4,8,17,25,20,TC,SA,8,Y,R,2,2,N,Y,Y
4.4,8,16,25,19,TC,SA,8,Y,A,2,2,N,Y,Y
4.4,8,17,25,20,TC,SA,8,Y,R,2,2,N,Y,Y
4.4,8,16,25,19,TC,SA,8,Y,A,2,2,N,Y,Y
4.4,8,16,25,19,TC,SA,8,Y,A,2,2,N,Y,Y
4.4,8,15,22,17,TC,M,6,N,R,2,2,N,Y,Y
4.4,8,14,20,16,TC,AMS,7,N,R,2,2,N,Y,Y
4.4,8,15,22,17,TC,M,6,N,R,2,2,N,Y,Y
4.4,8,14,20,16,TC,AMS,7,N,R,2,2,N,Y,Y
3,6,18,24,20,TC,SA,8,Y,A,2,2,N,Y,Y
4.4,8,15,21,17,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,18,25,21,TC,SA,8,Y,R,2,2,N,Y,Y
4.4,8,14,19,16,TC,SA,8,Y,A,2,2,N,Y,Y
3,6,21,29,24,TC,SA,8,Y,R,2,2,N,Y,Y
3,6,20,29,23,TC,SA,8,Y,A,2,2,N,Y,Y
4.4,8,17,25,20,TC,SA,8,Y,R,2,2,N,Y,Y
4.4,8,16,25,19,TC,SA,8,Y,A,2,2,N,Y,Y
4.4,8,16,25,19,TC,SA,8,Y,A,2,2,N,Y,Y
6.6,12,13,20,16,TC,SA,8,Y,A,2,2,N,Y,N
2.4,4,21,30,25,NAT,A,9,Y,F,2,2,N,Y,Y
2.4,4,21,30,25,NAT,A,9,Y,F,2,2,N,Y,Y
3.2,6,21,29,24,NAT,A,9,Y,F,2,2,N,Y,N
3.6,6,19,30,23,NAT,A,8,Y,R,2,2,N,Y,N
